Date,Close,MarketCap
,NPN.JO,
2022-03-18,36895.60546875,28292058104551.17
2022-03-22,37301.35546875,28603192789294.17
2022-03-23,33775.61328125,25899605151603.703
2022-03-24,32466.98046875,24896127498956.67
2022-03-25,31970.24609375,24515224743154.734
2022-03-28,31996.443359375,24535313167015.15
2022-03-29,34157.55859375,26192486074323.984
2022-03-30,34082.97265625,26135292550848.14
2022-03-31,33278.078125,25518088345717.312
2022-04-01,34421.53515625,26394906935822.39
2022-04-04,35816.3515625,27464471354387.906
2022-04-05,35465.39453125,27195352672252.83
2022-04-06,33216.68359375,25471010174120.484
2022-04-07,32646.76171875,25033986235965.797
2022-04-08,31995.84375,24534853378293.375
2022-04-11,32815.734375,25163556794517.938
2022-04-12,31485.109375,24143215229795.438
2022-04-13,31239.54296875,23954911529506.92
2022-04-14,30459.642578125,23356873175426.695
2022-04-19,30572.62890625,23443512646976.766
2022-04-20,29894.517578125,22923527547046.195
2022-04-21,29480.76953125,22606259849874.33
2022-04-22,30141.685546875,23113059347503.617
2022-04-25,30053.697265625,23045588722370.414
2022-04-26,29996.103515625,23001425042150.04
2022-04-28,29784.533203125,22839190014471.258
2022-04-29,32150.82421875,24653694534882.047
2022-05-03,31933.453125,24487011388298.812
2022-05-04,30652.818359375,23505003023360.65
2022-05-05,29209.806640625,22398481775809.85
2022-05-06,29190.40625,22383605289251.625
2022-05-09,28540.09375,21884936713350.375
2022-05-10,29050.626953125,22276420600485.633
2022-05-11,31175.951171875,23906148464385.68
2022-05-12,31688.8828125,24299471506408.03
2022-05-13,32085.833984375,24603859128637.71
2022-05-16,31453.11328125,24118680184713.703
2022-05-17,33551.44140625,25727707072352.016
2022-05-18,31955.8515625,24504186818465.906
2022-05-19,31692.681640625,24302384500101.35
2022-05-20,32070.234375,24591897133455.938
2022-05-23,31308.1328125,24007507165765.03
2022-05-24,29199.806640625,22390813638169.85
2022-05-25,30533.6328125,23413609905547.03
2022-05-26,31999.64453125,24537767869669.83
2022-05-27,31723.28125,24325848701743.125
2022-05-30,33360.8671875,25581572138350.97
2022-05-31,34284.15234375,26289559904260.36
2022-06-01,33602.234375,25766655819903.938
2022-06-02,33065.90234375,25355389036267.36
2022-06-03,33192.0859375,25452148352745.844
2022-06-06,34481.12109375,26440598252838.234
2022-06-07,33489.25,25680017846037.0
2022-06-08,36474.0625,27968813153996.25
2022-06-09,36715.83203125,28154205358274.58
2022-06-10,35458.59375,27190137739584.375
2022-06-13,34802.6796875,26687173808458.22
2022-06-14,34795.48046875,26681653348430.67
2022-06-15,36266.6875,27809795149686.75
2022-06-17,35982.3203125,27591738476281.78
2022-06-20,36610.84765625,28073701894519.64
2022-06-21,36920.20703125,28310922921292.08
2022-06-22,36547.25,28024934336349.0
2022-06-23,36972.796875,28351249537326.188
2022-06-24,38250.4296875,29330955963289.22
2022-06-27,46967.69921875,36015478224349.55
2022-06-28,46057.015625,35317153510013.06
2022-06-29,46857.109375,35930676410003.44
2022-06-30,47348.25,36307289801313.0
2022-07-01,50343.45703125,38604055778905.08
2022-07-04,50972.78125,39086630251861.125
2022-07-05,53292.87890625,40865713068497.766
2022-07-06,52393.19140625,40175820310199.016
2022-07-07,57057.5859375,43752542237487.84
2022-07-08,53123.09765625,40735522469128.64
2022-07-11,51960.65234375,39844143403606.36
2022-07-12,52595.7734375,40331163000100.59
2022-07-13,50052.296875,38380790163564.19
2022-07-14,49993.51171875,38335712896632.8
2022-07-15,49075.42578125,37631711963222.95
2022-07-18,51169.15234375,39237210309400.36
2022-07-19,52882.53125,40551052837660.125
2022-07-20,53193.09375,40789196437242.375
2022-07-21,53245.08203125,40829061766871.58
2022-07-22,52193.21875,40022478524962.875
2022-07-25,50614.42578125,38811838346018.95
2022-07-26,51009.171875,39114535083991.69
2022-07-27,49450.578125,37919383944007.31
2022-07-28,49173.81640625,37707159248721.516
2022-07-29,47122.48046875,36134166617258.67
2022-08-01,47443.4375,36380280886473.75
2022-08-02,46523.7578125,35675057843627.53
2022-08-03,48448.7109375,37151138394932.34
2022-08-04,48533.09375,37215844297002.375
2022-08-05,48993.03515625,37568533697948.39
2022-08-08,49882.71484375,38250752327874.61
2022-08-10,48593.69140625,37262311413881.016
2022-08-11,50172.08203125,38472643070099.58
2022-08-12,48877.05078125,37479595282789.45
2022-08-15,49540.56640625,37988388196668.516
2022-08-16,51604.8984375,39571346411697.09
2022-08-17,51769.87890625,39697855705925.766
2022-08-18,50423.8515625,38665703412017.91
2022-08-19,49461.5703125,37927812904678.78
2022-08-22,48924.84375,37516243589049.375
2022-08-23,49373.5859375,37860345274911.84
2022-08-24,49162.6171875,37698571533637.97
2022-08-25,52246.01171875,40062960900042.8
2022-08-26,51031.171875,39131404986799.69
2022-08-29,50393.45703125,38642396467105.08
2022-08-30,48253.9296875,37001777451463.22
2022-08-31,48509.09375,37197440766666.375
2022-09-01,46835.9140625,35914423552646.16
2022-09-02,48504.09375,37193606697846.375
2022-09-05,47940.76953125,36761641933314.33
2022-09-06,47526.0234375,36443608920061.59
2022-09-07,47473.8359375,36403590826752.84
2022-09-08,48831.85546875,37444938895096.17
2022-09-09,49828.9296875,38209509129763.22
2022-09-12,50114.09375,38428176857886.375
2022-09-13,48875.8515625,37478675705345.91
2022-09-14,49393.5859375,37875681550191.84
2022-09-15,49316.59765625,37816645876462.64
2022-09-16,47307.25390625,36275853432355.266
2022-09-19,47377.2421875,36329521409736.47
2022-09-20,47833.78515625,36679604842031.39
2022-09-21,47493.83203125,36418924106666.58
2022-09-22,45372.7109375,34792419256868.344
2022-09-23,44932.5625,34454907376790.25
2022-09-26,47663.203125,36548800192577.81
2022-09-27,45877.0390625,35179145004690.656
2022-09-28,44948.36328125,34467023633334.703
2022-09-29,43948.2890625,33700152957375.656
2022-09-30,45259.92578125,34705934046680.953
2022-10-03,45414.10546875,34824161153185.17
2022-10-04,47045.890625,36075436470888.56
2022-10-05,46135.30078125,35377183645342.45
2022-10-06,47995.11328125,36803313468801.7
2022-10-07,47367.1796875,36321805346236.22
2022-10-10,45153.59765625,34624400176930.64
2022-10-11,44663.8515625,34248856131377.906
2022-10-12,44052.1171875,33779769792715.97
2022-10-13,42065.51953125,32256419366373.33
2022-10-14,42539.47265625,32619853146114.14
2022-10-17,43995.5234375,33736372926259.594
2022-10-18,44763.640625,34325375757999.562
2022-10-19,42408.6796875,32519559297442.22
2022-10-20,42748.84765625,32780404777951.64
2022-10-21,41431.3828125,31770154602178.03
2022-10-24,34223.515625,26243062833719.062
2022-10-25,35080.42578125,26900153336042.953
2022-10-26,37258.40625,28570258737203.625
2022-10-27,37556.17578125,28798592512265.953
2022-10-28,35196.41796875,26989097741934.42
2022-10-31,37998.12890625,29137488251558.766
2022-11-01,41122.8125,31533538639391.25
2022-11-02,41099.015625,31515290868101.062
2022-11-03,40615.86328125,31144803000804.703
2022-11-04,43595.5625,33429677374322.25
2022-11-07,44195.5,33889717706862.0
2022-11-08,42921.62890625,32912895818612.766
2022-11-09,42119.7109375,32297974082576.344
2022-11-10,44031.3203125,33763822462717.78
2022-11-11,47740.73828125,36608255217584.2
2022-11-14,46973.015625,36019554917837.06
2022-11-15,49260.7890625,37773851078625.66
2022-11-16,52198.68359375,40026669042368.484
2022-11-17,51588.34765625,39558655044829.64
2022-11-18,51211.58984375,39269751968510.11
2022-11-21,49772.53125,38166262031620.125
2022-11-22,48070.30078125,36860968278682.45
2022-11-23,48419.87109375,37129023605793.234
2022-11-24,49693.94140625,38105998257722.016
2022-11-25,48912.62109375,37506871088004.234
2022-11-28,49551.35546875,37996661398294.17
2022-11-29,49685.140625,38099249697525.56
2022-11-30,52716.43359375,40423686868679.484
2022-12-01,53420.55859375,40963619610255.984
2022-12-02,53130.390625,40741114817946.56
2022-12-05,54165.8828125,41535144479836.03
2022-12-06,53183.38671875,40781752952072.3
2022-12-07,53235.77734375,40821926804426.86
2022-12-08,54413.859375,41725296321110.44
2022-12-09,55935.3046875,42891961527908.72
2022-12-12,55835.71484375,42815594664966.61
2022-12-13,57894.70703125,44394458214310.08
2022-12-14,57096.1875,43782142446924.75
2022-12-15,56670.03125,43455359968810.125
2022-12-19,56594.23828125,43397240877158.2
2022-12-20,55374.359375,42461820941432.44
2022-12-21,55594.33984375,42630504992681.11
2022-12-22,55994.30078125,42937200544618.45
2022-12-23,55190.3828125,42320745181054.03
2022-12-28,56708.02734375,43484495896475.86
2022-12-29,57094.1875,43780608819396.75
2022-12-30,56481.05078125,43310447144245.45
2023-01-03,59793.9140625,45850796306558.16
2023-01-04,61192.5703125,46923305170162.78
2023-01-05,60730.01171875,46568608873818.8
2023-01-06,62758.41015625,48124012714569.89
2023-01-09,65227.7578125,50017542485483.53
2023-01-10,64713.609375,49623286386869.44
